Numéro;Libellé;Observations;Géolocalisation
977;3 Continents vers Nord;;47.1993712729,-1.5615436065
979;3 Continents vers Sud;;47.1993852703,-1.56170965323
788;50 Otages Vers Nord (Port Communeau);;47.2199566357,-1.55503537379
786;50 Otages Vers Nord (Jean Bart);;47.2142220915,-1.55538166436
787;50 Otages Vers Sud (Port Communeau);;47.2199748064,-1.5550472911
785;50 Otages Vers Sud (Jean Bart);;47.2142139627,-1.55540834458
950;avenue de la Libération vers Nord;;47.1926712714,-1.54687257155
949;avenue de la Libération vers Sud;;47.1927097142,-1.54686476294
948;Bd Malakoff vers Est;;47.2130146543,-1.53617254776
679;Bd Malakoff vers Gare Sud;;47.2131628508,-1.53594215538
947;Bd Malakoff vers Ouest;;47.2130272111,-1.53617151659
665;Bonduelle vers Nord;;47.2116093885,-1.54325998832
664;Bonduelle vers sud;;47.2115623077,-1.54340196493
744;Calvaire vers Est;;47.2154893236,-1.56060187425
745;Calvaire vers Ouest;;47.2155573736,-1.56063409268
994;Ceineray vers Est;;47.2211809025,-1.55205574517
995;Ceineray vers Ouest;;47.2211938621,-1.55203851068
747;Chemin de halage Tortière vers Nord;;47.2356012137,-1.54952236398
746;Chemin de halage Tortière vers Sud;;47.2355778168,-1.54957368617
699;Coteaux vers Est;Releve manuel;47.2049561876,-1.76742543828
89;Coteaux vers Ouest;Releve manuel;47.2050895879,-1.76738871373
669;De Gaulle sortie Clémenceau vers Nord;;47.2035948325,-1.53663167112
668;De Gaulle vers sud;;47.2035066967,-1.53692054652
667;Entrée pont Audibert vers Nord;;47.2071844196,-1.54862824603
847;Entrée pont Audibert vers Sud;;47.2071785535,-1.5486490148
988;Kennedy vers Est;;47.2170871617,-1.54477635714
989;Kennedy vers Ouest;;47.2170822199,-1.54476993041
;La Chapelle sur Erdre;Releve manuel;47.3150926414,-1.54316810118
880;Madeleine vers Nord;;47.2115475185,-1.5527808506
881;Madeleine vers Sud;;47.2115364072,-1.55280427309
946;Magellan vers Est (Ouest);;47.2087993439,-1.54933149485
944;Magellan vers Est (Est);;47.2103923868,-1.54385473708
945;Magellan vers Ouest (Ouest);;47.2088242966,-1.54929545537
943;Magellan vers Ouest (Est);;47.2104240185,-1.54380402691
742;Philippot vers Est;;47.2116573626,-1.55634306338
743;Philippot vers ouest;;47.2117289179,-1.55639370182
683;pont Anne de Bretagne vers Nord;;47.2088907006,-1.56638608503
682;pont Anne de Bretagne vers Sud;;47.2088425574,-1.56652795959
666;Pont Audibert vers Sud;;47.2083580482,-1.54971891443
890;Pont de Pirmil vers Sud (Sud);;47.1981273957,-1.5422919798
670;Pont de Pirmil vers Sud (Nord);;47.200030444,-1.54406203032
672;Pont de Pornic vers Nord;;47.2013713434,-1.5489124176
673;Pont de Pornic vers Sud;;47.2013740171,-1.54893845837
675;Pont Haudaudine vers Nord;;47.2090760855,-1.5553894466
674;Pont Haudaudine vers Sud;;47.2090965879,-1.55557170091
981;Pont Tabarly vers Nord;;47.2134253777,-1.52929300201
727;Pont Tabarly vers Nord (Bd Sarrebruck);;47.2134566682,-1.5293317287
980;Pont Tabarly vers Sud;;47.2133861631,-1.52959990668
725;Pont Tabarly vers Sud (Bd Sarrebruck);;47.2134255883,-1.52957823004
676;Pont Willy Brandt vers Beaulieu;;47.2126621315,-1.53650339652
677;Pont Willy Brandt vers Malakoff;;47.2126849129,-1.53633212495
701;Promenade de Bellevue vers Est;Releve manuel;47.2287071632,-1.4815791177
700;Promenade de Bellevue vers Ouest;Releve manuel;47.2288144586,-1.4817352155
;Saint Léger les Vignes;Releve manuel;47.1408039248,-1.71322007326
960;Sorinières Vers Nord;;47.1602902978,-1.54213140012
959;Sorinières Vers Sud;;47.1603153115,-1.54215440161
907;Stade vers Est;Releve manuel;47.1481930098,-1.69390944053
889;Stade vers Ouest;Releve manuel;47.1483269449,-1.69376826385
681;Stalingrad vers est;;47.2189074905,-1.53704325477
680;Stalingrad vers ouest;;47.2190615145,-1.53678934839
987;Tremie vers Est;;47.2171337698,-1.54483273685
986;Tremie vers Ouest;;47.2171807202,-1.5448785574
996;Van Iseghem vers Nord;;47.2326672074,-1.5487986994
997;Van Iseghem vers Sud;;47.2326801845,-1.54881176633
